"activity","emotional_intensity","emotional_intensity_original","satisfaction","satisfaction_binary","gender","age_group","emotional_group"
"Social Media",0.253518345933827,1.5,8.59550561797753,1,"Female","19-25","Low"
"Social Media",0.253518345933827,1.5,3.65168539325843,0,"Female","13-18","Low"
"Social Media",-0.923811433944627,1,5.58988764044944,1,"Female","36-50","Low"
"Social Media",-0.923811433944627,1,4.10112359550562,0,"Male","36-50","Low"
"Social Media",0.253518345933827,1.5,4.57865168539326,0,"Male","36-50","Low"
"Social Media",2.60817790569074,2.5,5.19662921348315,1,"Male","36-50","High"
"Social Media",0.253518345933827,1.5,5.36516853932584,1,"Male","19-25","Low"
"Social Media",-0.923811433944627,1,6.03932584269663,1,"Female","26-35","Low"
"Social Media",0.253518345933827,1.5,5.87078651685393,1,"Female","19-25","Low"
"Social Media",2.60817790569074,2.5,4.57865168539326,0,"Female","19-25","High"
"Social Media",0.253518345933827,1.5,5.39325842696629,1,"Female","13-18","Low"
"Social Media",0.253518345933827,1.5,5.30898876404494,1,"Female","36-50","Low"
"Social Media",0.253518345933827,1.5,5.1123595505618,1,"Female","13-18","Low"
"Social Media",-0.923811433944627,1,5.50561797752809,1,"Female","13-18","Low"
"Social Media",-0.923811433944627,1,6.12359550561798,1,"Female","19-25","Low"
"Social Media",-0.923811433944627,1,5.42134831460674,1,"Female","19-25","Low"
"Social Media",-0.923811433944627,1,5.64606741573034,1,"Male","26-35","Low"
"Social Media",0.253518345933827,1.5,4.46629213483146,0,"Female","19-25","Low"
"Social Media",0.253518345933827,1.5,3.23033707865169,0,"Male","19-25","Low"
"Social Media",0.253518345933827,1.5,3.39887640449438,0,"Female","50+","Low"
"Social Media",-0.923811433944627,1,4.74719101123596,0,"Male","19-25","Low"
"Social Media",0.253518345933827,1.5,4.8314606741573,0,"Male","36-50","Low"
"Social Media",2.60817790569074,2.5,3.42696629213483,0,"Male","36-50","High"
"Social Media",0.253518345933827,1.5,7.5,1,"Female","26-35","Low"
"Social Media",0.253518345933827,1.5,6.12359550561798,1,"Female","13-18","Low"
"Social Media",0.253518345933827,1.5,6.26404494382022,1,"Male","19-25","Low"
"Social Media",-0.923811433944627,1,4.35393258426966,0,"Female","13-18","Low"
"Social Media",-0.923811433944627,1,4.63483146067416,0,"Male","26-35","Low"
"Social Media",-0.923811433944627,1,3.53932584269663,0,"Female","19-25","Low"
"Social Media",-0.923811433944627,1,4.35393258426966,0,"Female","19-25","Low"
"Social Media",1.43084812581228,2,6.43258426966292,1,"Female","19-25","High"
"Social Media",-0.923811433944627,1,5.78651685393258,1,"Male","50+","Low"
"Social Media",-0.923811433944627,1,5.1123595505618,1,"Male","26-35","Low"
"Social Media",0.253518345933827,1.5,3.70786516853933,0,"Male","50+","Low"
"Social Media",-0.923811433944627,1,5.2247191011236,1,"Male","19-25","Low"
"Social Media",-0.923811433944627,1,7.24719101123596,1,"Female","26-35","Low"
"Social Media",-0.923811433944627,1,4.85955056179775,0,"Female","19-25","Low"
"Social Media",0.253518345933827,1.5,4.91573033707865,0,"Female","36-50","Low"
"Social Media",1.43084812581228,2,5.50561797752809,1,"Male","19-25","High"
"Social Media",-0.923811433944627,1,3.59550561797753,0,"Female","26-35","Low"
"Social Media",1.43084812581228,2,7.4438202247191,1,"Male","19-25","High"
"Social Media",-0.923811433944627,1,3.25842696629214,0,"Male","13-18","Low"
"Social Media",-0.923811433944627,1,4.71910112359551,0,"Male","26-35","Low"
"Social Media",0.253518345933827,1.5,5.36516853932584,1,"Male","26-35","Low"
"Social Media",-0.923811433944627,1,3.76404494382022,0,"Female","26-35","Low"
"Social Media",0.253518345933827,1.5,4.15730337078652,0,"Female","19-25","Low"
"Social Media",0.253518345933827,1.5,5.81460674157303,1,"Male","19-25","Low"
"Social Media",-0.923811433944627,1,4.69101123595506,0,"Female","26-35","Low"
"Social Media",-0.923811433944627,1,5.44943820224719,1,"Male","26-35","Low"
"Social Media",0.253518345933827,1.5,3.84831460674157,0,"Female","19-25","Low"
"Social Media",-0.923811433944627,1,4.29775280898876,0,"Female","26-35","Low"
"Social Media",0.253518345933827,1.5,6.54494382022472,1,"Male","13-18","Low"
"Social Media",-0.923811433944627,1,3.53932584269663,0,"Female","26-35","Low"
"Social Media",2.60817790569074,2.5,3.84831460674157,0,"Female","26-35","High"
"Social Media",0.253518345933827,1.5,5.44943820224719,1,"Female","19-25","Low"
"Social Media",0.253518345933827,1.5,5.78651685393258,1,"Male","26-35","Low"
"Social Media",0.253518345933827,1.5,3.67977528089888,0,"Male","19-25","Low"
"Social Media",-0.923811433944627,1,4.43820224719101,0,"Male","19-25","Low"
"Social Media",1.43084812581228,2,4.38202247191011,0,"Male","19-25","High"
"Social Media",0.253518345933827,1.5,3.67977528089888,0,"Female","26-35","Low"
"Social Media",-0.923811433944627,1,4.18539325842697,0,"Female","26-35","Low"
"Social Media",-0.923811433944627,1,3.14606741573034,0,"Female","26-35","Low"
"Social Media",-0.923811433944627,1,5.0561797752809,1,"Female","36-50","Low"
"Social Media",0.253518345933827,1.5,5.58988764044944,1,"Female","19-25","Low"
"Social Media",0.253518345933827,1.5,4.32584269662921,0,"Male","19-25","Low"
"Social Media",0.253518345933827,1.5,7.21910112359551,1,"Male","36-50","Low"
"Social Media",-0.923811433944627,1,4.7752808988764,0,"Female","26-35","Low"
"Social Media",-0.923811433944627,1,5.84269662921348,1,"Male","19-25","Low"
"Social Media",0.253518345933827,1.5,5.56179775280899,1,"Female","26-35","Low"
"Social Media",-0.923811433944627,1,3.70786516853933,0,"Female","19-25","Low"
"Social Media",0.253518345933827,1.5,5.81460674157303,1,"Female","26-35","Low"
"Social Media",-0.923811433944627,1,7.3314606741573,1,"Male","26-35","Low"
"Social Media",0.253518345933827,1.5,3.90449438202247,0,"Female","19-25","Low"
"Social Media",0.253518345933827,1.5,1.51685393258427,0,"Male","19-25","Low"
"Social Media",-0.923811433944627,1,4.07303370786517,0,"Female","19-25","Low"
"Social Media",-0.923811433944627,1,5.84269662921348,1,"Male","13-18","Low"
"Social Media",0.253518345933827,1.5,5.19662921348315,1,"Male","13-18","Low"
"Social Media",0.253518345933827,1.5,3.59550561797753,0,"Female","19-25","Low"
"Social Media",0.253518345933827,1.5,5.19662921348315,1,"Male","13-18","Low"
"Social Media",-0.923811433944627,1,5.44943820224719,1,"Female","13-18","Low"
"Social Media",-0.923811433944627,1,3.25842696629214,0,"Male","19-25","Low"
"Social Media",0.253518345933827,1.5,4.85955056179775,0,"Male","26-35","Low"
"Social Media",-0.923811433944627,1,5.56179775280899,1,"Female","13-18","Low"
"Social Media",0.253518345933827,1.5,5.28089887640449,1,"Male","19-25","Low"
"Social Media",-0.923811433944627,1,4.9438202247191,0,"Male","36-50","Low"
"Social Media",0.253518345933827,1.5,3.62359550561798,0,"Female","36-50","Low"
"Social Media",0.253518345933827,1.5,8.42696629213483,1,"Female","26-35","Low"
"Social Media",0.253518345933827,1.5,3.31460674157303,0,"Female","36-50","Low"
"Social Media",-0.923811433944627,1,4.29775280898876,0,"Female","19-25","Low"
"Social Media",-0.923811433944627,1,4.38202247191011,0,"Male","19-25","Low"
"Social Media",0.253518345933827,1.5,3.79213483146067,0,"Female","19-25","Low"
"Social Media",0.253518345933827,1.5,4.10112359550562,0,"Male","36-50","Low"
"Social Media",1.43084812581228,2,6.26404494382022,1,"Female","26-35","High"
"Social Media",0.253518345933827,1.5,4.49438202247191,0,"Male","36-50","Low"
"Social Media",-0.923811433944627,1,6.85393258426966,1,"Male","19-25","Low"
"Social Media",3.78550768556919,3,4.57865168539326,0,"Male","19-25","High"
"Social Media",-0.923811433944627,1,3.42696629213483,0,"Male","26-35","Low"
"Social Media",-0.923811433944627,1,5.56179775280899,1,"Female","26-35","Low"
"Social Media",-0.923811433944627,1,6.57303370786517,1,"Male","26-35","Low"
"Social Media",0.253518345933827,1.5,5.2247191011236,1,"Male","50+","Low"
"Social Media",0.253518345933827,1.5,5.33707865168539,1,"Male","13-18","Low"
"Social Media",1.43084812581228,2,5.50561797752809,1,"Male","19-25","High"
"Social Media",-0.923811433944627,1,5.33707865168539,1,"Female","19-25","Low"
"Social Media",-0.923811433944627,1,7.4438202247191,1,"Male","19-25","Low"
"Social Media",-0.923811433944627,1,5.2247191011236,1,"Female","13-18","Low"
"Social Media",-0.923811433944627,1,4.18539325842697,0,"Male","19-25","Low"
"Social Media",1.43084812581228,2,5.28089887640449,1,"Male","26-35","High"
"Social Media",0.253518345933827,1.5,4.49438202247191,0,"Female","36-50","Low"
"Social Media",0.253518345933827,1.5,3.59550561797753,0,"Male","19-25","Low"
"Social Media",-0.923811433944627,1,7.58426966292135,1,"Female","36-50","Low"
"Social Media",0.253518345933827,1.5,3.03370786516854,0,"Female","19-25","Low"
"Social Media",0.253518345933827,1.5,4.18539325842697,0,"Male","26-35","Low"
"Social Media",0.253518345933827,1.5,6.51685393258427,1,"Female","19-25","Low"
"Social Media",0.253518345933827,1.5,6.65730337078652,1,"Male","19-25","Low"
"Social Media",-0.923811433944627,1,4.74719101123596,0,"Female","19-25","Low"
"Social Media",-0.923811433944627,1,5.14044943820225,1,"Female","19-25","Low"
"Social Media",0.253518345933827,1.5,6.20786516853933,1,"Female","19-25","Low"
"Social Media",1.43084812581228,2,6.76966292134832,1,"Female","26-35","High"
"Social Media",0.253518345933827,1.5,3.62359550561798,0,"Male","13-18","Low"
"Social Media",-0.923811433944627,1,4.57865168539326,0,"Male","26-35","Low"
"Social Media",0.253518345933827,1.5,7.5561797752809,1,"Female","26-35","Low"
"Social Media",-0.923811433944627,1,5,1,"Male","26-35","Low"
"Social Media",-0.923811433944627,1,4.71910112359551,0,"Female","36-50","Low"
"Social Media",-0.923811433944627,1,2.5561797752809,0,"Female","19-25","Low"
"Social Media",-0.923811433944627,1,4.15730337078652,0,"Female","13-18","Low"
