"age","gender","mother.tongue","genre","amazement","solemnity","tenderness","nostalgia","calmness","power","joyful_activation","tension","sadness","liked","disliked","emotional_intensity","positive_score","negative_score","emotion_direction","sentiment_score","age_group"
19,"Male","English","electronic",1,0,0,0,0,1,0,1,0,1,0,3,2,1,"Positive",1,"19-25"
34,"Male","English","electronic",1,0,1,0,1,0,0,0,0,1,0,3,3,0,"Positive",3,"26-35"
29,"Male","Spanish","rock",0,0,1,0,1,0,0,0,0,1,0,2,2,0,"Positive",2,"26-35"
46,"Female","Greek","classical",0,1,0,0,1,0,0,0,0,0,1,2,2,0,"Positive",2,"36-50"
19,"Male","Dutch","electronic",0,1,0,1,1,0,0,0,0,1,0,3,3,0,"Positive",3,"19-25"
14,"Female","Russian","rock",0,0,0,0,0,0,0,1,0,0,1,1,0,1,"Negative",-1,"13-18"
20,"Male","Portuguese","classical",0,0,1,1,1,0,0,0,0,1,0,3,3,0,"Positive",3,"19-25"
40,"Male","French","pop",0,0,0,1,0,0,0,1,1,0,1,3,1,2,"Negative",-1,"36-50"
24,"Female","Dutch","pop",0,0,0,1,0,0,0,0,0,0,1,1,1,0,"Positive",1,"19-25"
44,"Male","English","rock",0,0,1,0,1,0,0,0,0,0,1,2,2,0,"Positive",2,"36-50"
32,"Male","Spanish","electronic",0,0,0,0,0,0,1,0,0,1,0,1,1,0,"Positive",1,"26-35"
36,"Male","Italian","classical",0,1,0,0,1,0,0,0,0,1,0,2,2,0,"Positive",2,"36-50"
11,"Female","Estonian","classical",0,0,0,0,0,1,1,1,0,1,0,3,2,1,"Positive",1,"0-12"
26,"Female","Czech","rock",0,0,0,0,0,0,0,1,0,0,1,1,0,1,"Negative",-1,"26-35"
28,"Male","Russian","electronic",0,0,0,0,0,0,0,0,1,0,1,1,0,1,"Negative",-1,"26-35"
15,"Female","English","electronic",0,1,0,1,0,0,0,1,0,1,0,3,2,1,"Positive",1,"13-18"
37,"Male","German","rock",0,0,0,1,0,0,0,0,0,0,1,1,1,0,"Positive",1,"36-50"
29,"Female","English","rock",1,0,0,0,0,1,0,0,0,1,0,2,2,0,"Positive",2,"26-35"
39,"Male","Spanish","electronic",0,1,0,0,1,0,0,0,1,1,0,3,2,1,"Positive",1,"36-50"
12,"Female","Russian","rock",0,0,0,0,0,0,0,1,0,0,1,1,0,1,"Negative",-1,"0-12"
23,"Male","English","classical",0,0,1,0,0,1,1,0,0,1,0,3,3,0,"Positive",3,"19-25"
29,"Female","Russian","classical",1,0,0,0,0,0,0,0,0,1,0,1,1,0,"Positive",1,"26-35"
20,"Female","Dutch","electronic",0,1,0,0,1,0,0,1,0,0,1,3,2,1,"Positive",1,"19-25"
22,"Female","Dutch","electronic",0,0,1,0,1,0,1,0,0,1,0,3,3,0,"Positive",3,"19-25"
18,"Female","Dutch","rock",0,0,1,1,1,0,0,0,0,1,0,3,3,0,"Positive",3,"13-18"
25,"Female","Russian","classical",0,1,0,0,0,0,0,1,1,1,0,3,1,2,"Negative",-1,"19-25"
31,"Male","Dutch","classical",0,1,0,0,1,0,0,0,0,1,0,2,2,0,"Positive",2,"26-35"
41,"Male","Dutch","electronic",0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Neutral/Mixed",0,"36-50"
35,"Female","English","electronic",0,1,0,0,1,0,1,0,0,1,0,3,3,0,"Positive",3,"26-35"
50,"Male","Dutch","pop",0,0,0,0,0,0,0,0,1,0,1,1,0,1,"Negative",-1,"36-50"
22,"Female","German","classical",0,0,0,0,0,0,1,0,0,1,0,1,1,0,"Positive",1,"19-25"
24,"Female","Dutch","classical",1,0,0,0,0,1,0,0,1,1,0,3,2,1,"Positive",1,"19-25"
34,"Female","English","rock",0,0,0,0,0,0,0,1,0,0,1,1,0,1,"Negative",-1,"26-35"
19,"Female","English","electronic",0,0,0,1,1,0,0,0,1,0,1,3,2,1,"Positive",1,"19-25"
18,"Female","English","classical",1,1,0,0,1,0,0,0,0,1,0,3,3,0,"Positive",3,"13-18"
17,"Female","French","rock",0,0,0,0,0,0,0,0,1,0,1,1,0,1,"Negative",-1,"13-18"
25,"Female","Ucrainian","pop",0,0,0,0,0,0,1,0,0,1,0,1,1,0,"Positive",1,"19-25"
20,"Female","German","pop",1,0,0,0,0,0,1,0,0,1,0,2,2,0,"Positive",2,"19-25"
22,"Female","French","electronic",0,0,0,0,1,0,0,0,0,0,1,1,1,0,"Positive",1,"19-25"
31,"Female","Dutch","classical",0,0,0,0,0,0,1,0,0,1,0,1,1,0,"Positive",1,"26-35"
65,"Male","French","classical",0,1,0,1,0,0,0,0,1,1,0,3,2,1,"Positive",1,"50+"
27,"Male","German","classical",0,0,1,1,1,0,0,0,0,0,1,3,3,0,"Positive",3,"26-35"
30,"Female","English","classical",0,0,0,0,1,0,0,0,1,0,1,2,1,1,"Neutral/Mixed",0,"26-35"
47,"Male","English","electronic",0,1,1,0,0,0,0,0,0,1,0,2,2,0,"Positive",2,"36-50"
22,"Male","Polish","electronic",0,0,0,0,0,0,1,0,0,1,0,1,1,0,"Positive",1,"19-25"
20,"Male","English","electronic",0,1,0,1,1,0,0,0,0,0,1,3,3,0,"Positive",3,"19-25"
47,"Female","Dutch","pop",0,1,0,1,1,0,0,0,0,1,0,3,3,0,"Positive",3,"36-50"
21,"Male","Russian","classical",0,0,1,1,1,0,0,0,0,1,0,3,3,0,"Positive",3,"19-25"
51,"Female","Dutch","classical",0,0,1,0,1,0,1,0,0,1,0,3,3,0,"Positive",3,"50+"
25,"Female","Russian","electronic",0,0,1,1,1,0,0,0,0,1,0,3,3,0,"Positive",3,"19-25"
61,"Male","English","classical",0,0,1,0,0,1,0,0,1,1,0,3,2,1,"Positive",1,"50+"
26,"Female","Chinese","pop",1,0,1,0,1,0,0,0,0,1,0,3,3,0,"Positive",3,"26-35"
25,"Female","Swedish","rock",0,0,0,0,0,1,0,1,0,1,0,2,1,1,"Neutral/Mixed",0,"19-25"
37,"Female","Ucrainian","pop",0,0,0,0,0,0,1,0,0,1,0,1,1,0,"Positive",1,"36-50"
25,"Female","French","rock",0,0,1,1,0,0,0,0,0,1,0,2,2,0,"Positive",2,"19-25"
25,"Female","English","classical",0,0,0,0,1,0,0,0,0,1,0,1,1,0,"Positive",1,"19-25"
43,"Male","Dutch","classical",0,1,0,0,1,0,0,0,1,1,0,3,2,1,"Positive",1,"36-50"
24,"Female","Dutch","electronic",0,1,0,1,0,1,0,0,0,1,0,3,3,0,"Positive",3,"19-25"
29,"Male","Russian","rock",0,0,0,1,0,0,0,1,1,0,1,3,1,2,"Negative",-1,"26-35"
25,"Male","English","rock",0,0,0,1,1,0,0,0,1,1,0,3,2,1,"Positive",1,"19-25"
24,"Female","Slovenian","pop",0,1,0,1,0,0,0,0,1,0,1,3,2,1,"Positive",1,"19-25"
41,"Female","Russian","pop",0,0,0,0,0,0,0,0,1,1,0,1,0,1,"Negative",-1,"36-50"
20,"Male","Chinese","pop",0,0,1,1,0,0,1,0,0,1,0,3,3,0,"Positive",3,"19-25"
27,"Female","English","classical",0,1,0,0,1,0,0,0,0,1,0,2,2,0,"Positive",2,"26-35"
62,"Male","Dutch","electronic",0,0,0,0,0,0,0,1,0,0,1,1,0,1,"Negative",-1,"50+"
17,"Female","Russian","rock",0,0,1,1,1,0,0,0,0,1,0,3,3,0,"Positive",3,"13-18"
25,"Male","Hungarian","rock",1,0,0,0,0,0,0,0,0,1,0,1,1,0,"Positive",1,"19-25"
24,"Male","English","pop",0,0,0,0,1,0,1,1,0,1,0,3,2,1,"Positive",1,"19-25"
39,"Male","Spanish","rock",0,1,0,0,0,0,0,1,1,0,1,3,1,2,"Negative",-1,"36-50"
23,"Female","Dutch","classical",0,0,0,0,0,1,1,0,0,1,0,2,2,0,"Positive",2,"19-25"
25,"Male","Portuguese","classical",0,1,0,0,0,1,0,1,0,1,0,3,2,1,"Positive",1,"19-25"
